"term","frequency","type_","great_area","term_normalize"
"abolicionista",81,"BOOK_CHAPTER","0","abolicionista"
"abordados",91,"BOOK_CHAPTER","0","abordados"
"abordagem",60,"ABSTRACT","0","abordagem"
"abordagem",60,"SPEAKER","0","abordagem"
"abordagem",382,"ARTICLE","0","abordagem"
"abordagem",1243,"BOOK","0","abordagem"
"abordagem",9683,"BOOK_CHAPTER","0","abordagem"
"abordagens",26,"ABSTRACT","0","abordagens"
"abordagens",51,"SPEAKER","0","abordagens"
"abordagens",65,"ARTICLE","0","abordagens"
"abordagens",2042,"BOOK","0","abordagens"
"abordagens",2150,"BOOK_CHAPTER","0","abordagens"
"abordam",37,"BOOK_CHAPTER","0","abordam"
"abordando",16,"ABSTRACT","0","abordando"
"abordando",39,"BOOK_CHAPTER","0","abordando"
"abordar",153,"BOOK_CHAPTER","0","abordar"
"aborrecente",38,"BOOK_CHAPTER","0","aborrecente"
"abortamento",8,"ARTICLE","0","abortamento"
"abortamento",175,"BOOK_CHAPTER","0","abortamento"
"aborto",24,"ARTICLE","0","aborto"
"aborto",318,"BOOK_CHAPTER","0","aborto"
"aboveground",13,"ARTICLE","0","aboveground"
"abpi",8,"SPEAKER","0","abpi"
"abpi",38,"BOOK","0","abpi"
"abpn",16,"ABSTRACT","0","abpn"
"abraão brito peixoto",1,"NAME","0","0"
"abraão felix da penha",1,"NAME","0","0"
"abracadabra",42,"BOOK_CHAPTER","0","abracadabra"
"abraçar",29,"BOOK_CHAPTER","0","abracar"
"abrace",36,"SPEAKER","0","abrace"
"abraço",39,"BOOK_CHAPTER","0","abraco"
"abralic",160,"SPEAKER","0","abralic"
"abralin",8,"ABSTRACT","0","abralin"
"abralin",253,"SPEAKER","0","abralin"
"abramd",8,"SPEAKER","0","abramd"
"abrange",10,"ABSTRACT","0","abrange"
"abrangência",97,"BOOK_CHAPTER","0","abrangencia"
"abrangências",38,"BOOK","0","abrangencias"
"abraplip",24,"SPEAKER","0","abraplip"
"abrapso",27,"SPEAKER","0","abrapso"
"abrapui",13,"SPEAKER","0","abrapui"
"abrasco",13,"ABSTRACT","0","abrasco"
"abrasileirada",38,"BOOK_CHAPTER","0","abrasileirada"
"abre",75,"BOOK_CHAPTER","0","abre"
"abreu",87,"BOOK_CHAPTER","0","abreu"
"abrigado",39,"BOOK_CHAPTER","0","abrigado"
"abrigar",39,"BOOK_CHAPTER","0","abrigar"
"abrigo",77,"BOOK_CHAPTER","0","abrigo"
"abril",38,"BOOK","0","abril"
"abril",76,"ABSTRACT","0","abril"
"abril",76,"BOOK_CHAPTER","0","abril"
"abrindo",97,"BOOK_CHAPTER","0","abrindo"
"abrindo",249,"BOOK","0","abrindo"
"abrir",37,"BOOK_CHAPTER","0","abrir"
"abrir",115,"BOOK","0","abrir"
"abrocomidae",76,"BOOK_CHAPTER","0","abrocomidae"
"abrolhos",15,"ARTICLE","0","abrolhos"
"abrolhos",111,"BOOK_CHAPTER","0","abrolhos"
"abruem",10,"SPEAKER","0","abruem"
"absence",11,"ARTICLE","0","absence"
"absence",38,"BOOK_CHAPTER","0","absence"
"absenteísmo",135,"BOOK_CHAPTER","0","absenteismo"
"absoluta",21,"BOOK_CHAPTER","0","absoluta"
"absoluto",38,"BOOK","0","absoluto"
"absoluto",38,"BOOK_CHAPTER","0","absoluto"
"absolvição",38,"BOOK_CHAPTER","0","absolvicao"
"absorção",8,"ABSTRACT","0","absorcao"
"absorção",28,"ARTICLE","0","absorcao"
"absorption",162,"ARTICLE","0","absorption"
"abstracción",38,"BOOK","0","abstraccion"
"abstrações",38,"BOOK_CHAPTER","0","abstracoes"
"abstracts",38,"BOOK","0","abstracts"
"abstratização",38,"BOOK_CHAPTER","0","abstratizacao"
"abstrato",39,"BOOK_CHAPTER","0","abstrato"
"absurda",38,"BOOK_CHAPTER","0","absurda"
"abts",76,"BOOK_CHAPTER","0","abts"
"ábum",37,"BOOK","0","abum"
"abundance",43,"ARTICLE","0","abundance"
"abundância",11,"ARTICLE","0","abundancia"
"abundância",101,"BOOK_CHAPTER","0","abundancia"
"abundant",8,"ARTICLE","0","abundant"
"abusivas",78,"BOOK_CHAPTER","0","abusivas"
"abusivo",78,"BOOK_CHAPTER","0","abusivo"
"abuso",8,"SPEAKER","0","abuso"
"abuso",18,"ARTICLE","0","abuso"
"abuso",271,"BOOK_CHAPTER","0","abuso"
"acabamento",8,"ARTICLE","0","acabamento"
"acabar",38,"BOOK_CHAPTER","0","acabar"
"acácia batista dias",1,"NAME","0","0"
"acácia gomes pinho",1,"NAME","0","0"
"acad",21,"BOOK","0","acad"
"acade",21,"BOOK_CHAPTER","0","acade"
"academia",23,"ARTICLE","0","academia"
"academia",35,"SPEAKER","0","academia"
"academia",97,"BOOK","0","academia"
"academia",98,"ABSTRACT","0","academia"
"academia",401,"BOOK_CHAPTER","0","academia"
"academias",13,"ARTICLE","0","academias"
"academias",39,"BOOK_CHAPTER","0","academias"
"academic",18,"ARTICLE","0","academic"
"academic",38,"BOOK_CHAPTER","0","academic"
"academic",120,"BOOK","0","academic"
"academica",16,"SPEAKER","0","academica"
"académica",77,"BOOK","0","academica"
"acadêmica",100,"ARTICLE","0","academica"
"acadêmica",183,"ABSTRACT","0","academica"
"acadêmica",308,"BOOK","0","academica"
"acadêmica",495,"SPEAKER","0","academica"
"acadêmica",1908,"BOOK_CHAPTER","0","academica"
"academicas",21,"BOOK_CHAPTER","0","academicas"
"acadêmicas",34,"ABSTRACT","0","academicas"
"acadêmicas",34,"ARTICLE","0","academicas"
"acadêmicas",90,"SPEAKER","0","academicas"
"acadêmicas",501,"BOOK","0","academicas"
"acadêmicas",1007,"BOOK_CHAPTER","0","academicas"
"academico",10,"SPEAKER","0","academico"
"academico",38,"BOOK_CHAPTER","0","academico"
"acadêmico",45,"ARTICLE","0","academico"
"acadêmico",148,"ABSTRACT","0","academico"
"acadêmico",198,"SPEAKER","0","academico"
"acadêmico",481,"BOOK","0","academico"
"acadêmico",1336,"BOOK_CHAPTER","0","academico"
"acadêmicos",14,"SPEAKER","0","academicos"
"acadêmicos",47,"ABSTRACT","0","academicos"
"acadêmicos",70,"ARTICLE","0","academicos"
"acadêmicos",633,"BOOK","0","academicos"
"acadêmicos",993,"BOOK_CHAPTER","0","academicos"
"academy",9,"ABSTRACT","0","academy"
"academy",10,"SPEAKER","0","academy"
"acádia",37,"BOOK_CHAPTER","0","acadia"
"açaí",8,"ARTICLE","0","acai"
"açaí",37,"BOOK_CHAPTER","0","acai"
"acalantar",38,"BOOK_CHAPTER","0","acalantar"
"acalantos",59,"BOOK_CHAPTER","0","acalantos"
"acalculosa",38,"BOOK_CHAPTER","0","acalculosa"
"acalyphoideae",8,"ARTICLE","0","acalyphoideae"
"açambarcadores",38,"BOOK","0","acambarcadores"
"acampamento",77,"BOOK_CHAPTER","0","acampamento"
"acampar",38,"BOOK_CHAPTER","0","acampar"
"acanhado",21,"BOOK_CHAPTER","0","acanhado"
"acanthaceae",12,"ARTICLE","0","acanthaceae"
"ação",1,"PATENT","0","acao"
"ação",89,"ABSTRACT","0","acao"
"ação",117,"SPEAKER","0","acao"
"ação",216,"ARTICLE","0","acao"
"ação",1337,"BOOK","0","acao"
"ação",5594,"BOOK_CHAPTER","0","acao"
"acari",39,"BOOK_CHAPTER","0","acari"
"acari",76,"ARTICLE","0","acari"
"acaricide",10,"ARTICLE","0","acaricide"
"ácaro",9,"ARTICLE","0","acaro"
"acarologia",9,"SPEAKER","0","acarologia"
"ácaros",9,"ARTICLE","0","acaros"
"ácaros",236,"BOOK_CHAPTER","0","acaros"
"acaso",38,"BOOK_CHAPTER","0","acaso"
"acássia benjamim leal pires",1,"NAME","0","0"
"acbeu",12,"SPEAKER","0","acbeu"
"accelerating",22,"BOOK_CHAPTER","0","accelerating"
"acceptability",8,"ARTICLE","0","acceptability"
"acceso",38,"BOOK","0","acceso"
"acceso",38,"BOOK_CHAPTER","0","acceso"
"access",37,"ARTICLE","0","access"
"accessibility",8,"ARTICLE","0","accessibility"
"accessibility",21,"BOOK_CHAPTER","0","accessibility"
"accessible",77,"BOOK_CHAPTER","0","accessible"
"accessions",35,"ARTICLE","0","accessions"
"accidents",15,"ARTICLE","0","accidents"
"acción",115,"BOOK_CHAPTER","0","accion"
"accionismo",38,"BOOK_CHAPTER","0","accionismo"
"accipe",30,"BOOK_CHAPTER","0","accipe"
"accompagnement",37,"BOOK_CHAPTER","0","accompagnement"
"according",39,"ARTICLE","0","according"
"accounting",20,"SPEAKER","0","accounting"
"accounting",24,"ARTICLE","0","accounting"
"accounting",38,"BOOK_CHAPTER","0","accounting"
"accueil",37,"BOOK","0","accueil"
"accueil",37,"BOOK_CHAPTER","0","accueil"
"accumulation",49,"ARTICLE","0","accumulation"
"accumulation",114,"BOOK_CHAPTER","0","accumulation"
"accuracy",30,"ARTICLE","0","accuracy"
"accuracy",39,"BOOK_CHAPTER","0","accuracy"
"aceita",30,"BOOK_CHAPTER","0","aceita"
"aceitação",18,"ARTICLE","0","aceitacao"
"aceitação",158,"BOOK_CHAPTER","0","aceitacao"
"aceitar",226,"BOOK_CHAPTER","0","aceitar"
"aceito",30,"BOOK_CHAPTER","0","aceito"
"aceleração",1,"PATENT","0","aceleracao"
"aceleração",39,"BOOK_CHAPTER","0","aceleracao"
"aceleração",69,"BOOK","0","aceleracao"
"acelerado",38,"BOOK_CHAPTER","0","acelerado"
"aceleradora",77,"BOOK_CHAPTER","0","aceleradora"
"acelerados",38,"BOOK_CHAPTER","0","acelerados"
"acelino",74,"BOOK_CHAPTER","0","acelino"
"acendendo",38,"BOOK_CHAPTER","0","acendendo"
"aceno",38,"BOOK","0","aceno"
"acenos",38,"BOOK_CHAPTER","0","acenos"
"acento",77,"BOOK_CHAPTER","0","acento"
"acentual",38,"BOOK_CHAPTER","0","acentual"
"acerca",11,"SPEAKER","0","acerca"
"acerca",24,"ABSTRACT","0","acerca"
"acerca",203,"BOOK","0","acerca"
"acerca",277,"ARTICLE","0","acerca"
"acerca",5225,"BOOK_CHAPTER","0","acerca"
"acercada",38,"BOOK_CHAPTER","0","acercada"
"acerol",38,"BOOK_CHAPTER","0","acerol"
"acerola",17,"ARTICLE","0","acerola"
"acerola",38,"BOOK","0","acerola"
"acerola",188,"BOOK_CHAPTER","0","acerola"
"acertos",90,"BOOK_CHAPTER","0","acertos"
"acervo",11,"ARTICLE","0","acervo"
"acervo",18,"ABSTRACT","0","acervo"
"acervo",171,"BOOK","0","acervo"
"acervo",348,"BOOK_CHAPTER","0","acervo"
"acervos",10,"ABSTRACT","0","acervos"
"acervos",13,"ARTICLE","0","acervos"
"acervos",15,"SPEAKER","0","acervos"
"acervos",37,"BOOK","0","acervos"
"acervos",87,"BOOK_CHAPTER","0","acervos"
"aceso",38,"BOOK_CHAPTER","0","aceso"
"acessando",30,"BOOK_CHAPTER","0","acessando"
"acessar",39,"BOOK_CHAPTER","0","acessar"
"acessibilidade",31,"SPEAKER","0","acessibilidade"
"acessibilidade",39,"ABSTRACT","0","acessibilidade"
"acessibilidade",40,"ARTICLE","0","acessibilidade"
"acessibilidade",114,"BOOK","0","acessibilidade"
"acessibilidade",933,"BOOK_CHAPTER","0","acessibilidade"
"acessíveis",115,"BOOK_CHAPTER","0","acessiveis"
"acessível",38,"BOOK","0","acessivel"
"acessível",113,"BOOK_CHAPTER","0","acessivel"
"acesso",35,"ABSTRACT","0","acesso"
"acesso",39,"SPEAKER","0","acesso"
"acesso",144,"ARTICLE","0","acesso"
"acesso",284,"BOOK","0","acesso"
"acesso",3126,"BOOK_CHAPTER","0","acesso"
"acessórias",20,"BOOK_CHAPTER","0","acessorias"
"acessório",21,"BOOK_CHAPTER","0","acessorio"
"acessórios",76,"BOOK_CHAPTER","0","acessorios"
"acessos",36,"ARTICLE","0","acessos"
"acetate",30,"ARTICLE","0","acetate"
"acetato",1,"PATENT","0","acetato"
"acético",38,"BOOK","0","acetico"
"acetilcolinesterase",2,"PATENT","0","acetilcolinesterase"
"acetilcolinesterase",124,"BOOK_CHAPTER","0","acetilcolinesterase"
"acetonitrile",1,"PATENT","0","acetonitrile"
"acetylated",10,"ARTICLE","0","acetylated"
"acetylcholinesterase",22,"ARTICLE","0","acetylcholinesterase"
"achado",40,"BOOK","0","achado"
"achado",192,"BOOK_CHAPTER","0","achado"
"achados",11,"ARTICLE","0","achados"
"achados",60,"BOOK","0","achados"
"achados",78,"BOOK_CHAPTER","0","achados"
"achadouros",37,"BOOK_CHAPTER","0","achadouros"
"acham",38,"BOOK_CHAPTER","0","acham"
"achar",76,"BOOK_CHAPTER","0","achar"
"achariaceae",15,"ARTICLE","0","achariaceae"
"achariaceae",21,"BOOK_CHAPTER","0","achariaceae"
"achei",76,"BOOK_CHAPTER","0","achei"
"achievements",75,"BOOK_CHAPTER","0","achievements"
"acho",90,"BOOK_CHAPTER","0","acho"
"acid",1,"PATENT","0","acid"
"acid",20,"BOOK","0","acid"
"acid",156,"BOOK_CHAPTER","0","acid"
"acid",193,"ARTICLE","0","acid"
"acidente",8,"SPEAKER","0","acidente"
"acidente",10,"ABSTRACT","0","acidente"
"acidente",43,"ARTICLE","0","acidente"
"acidente",266,"BOOK","0","acidente"
"acidente",518,"BOOK_CHAPTER","0","acidente"
"acidentes",17,"SPEAKER","0","acidentes"
"acidentes",37,"BOOK","0","acidentes"
"acidentes",101,"ARTICLE","0","acidentes"
"acidentes",1047,"BOOK_CHAPTER","0","acidentes"
"acidez",8,"ARTICLE","0","acidez"
"acidez",110,"BOOK_CHAPTER","0","acidez"
"acidic",11,"ARTICLE","0","acidic"
"ácido",8,"PATENT","0","acido"
"ácido",72,"ARTICLE","0","acido"
"ácido",549,"BOOK_CHAPTER","0","acido"
"acidophilus",20,"BOOK_CHAPTER","0","acidophilus"
"ácidos",1,"PATENT","0","acidos"
"ácidos",26,"ARTICLE","0","acidos"
"ácidos",136,"BOOK_CHAPTER","0","acidos"
"àcidos",38,"BOOK_CHAPTER","0","acidos"
"acids",1,"PATENT","0","acids"
"acids",51,"ARTICLE","0","acids"
"acidulados",21,"BOOK_CHAPTER","0","acidulados"
"acional",30,"BOOK_CHAPTER","0","acional"
"acionamentos",37,"BOOK_CHAPTER","0","acionamentos"
"aclimatização",21,"ARTICLE","0","aclimatizacao"
"açoes",97,"BOOK_CHAPTER","0","acoes"
"ações",119,"SPEAKER","0","acoes"
"ações",159,"ABSTRACT","0","acoes"
"ações",221,"ARTICLE","0","acoes"
"ações",1805,"BOOK","0","acoes"
"ações",5138,"BOOK_CHAPTER","0","acoes"
"acogida",37,"BOOK_CHAPTER","0","acogida"
"acolhendo",45,"SPEAKER","0","acolhendo"
"acolhendo",113,"BOOK","0","acolhendo"
"acolhimento",49,"ARTICLE","0","acolhimento"
"acolhimento",53,"SPEAKER","0","acolhimento"
"acolhimento",76,"BOOK","0","acolhimento"
"acolhimento",982,"BOOK_CHAPTER","0","acolhimento"
"acometidas",60,"BOOK_CHAPTER","0","acometidas"
"acometidos",19,"ARTICLE","0","acometidos"
"acometidos",114,"BOOK_CHAPTER","0","acometidos"
"acomodações",31,"BOOK_CHAPTER","0","acomodacoes"
"acomodações",59,"BOOK","0","acomodacoes"
"acomodar",154,"BOOK_CHAPTER","0","acomodar"
"acompanhados",10,"ARTICLE","0","acompanhados"
"acompanhados",77,"BOOK_CHAPTER","0","acompanhados"
"acompanhamento",1,"PATENT","0","acompanhamento"
"acompanhamento",28,"SPEAKER","0","acompanhamento"
"acompanhamento",38,"ABSTRACT","0","acompanhamento"
"acompanhamento",41,"ARTICLE","0","acompanhamento"
"acompanhamento",248,"BOOK","0","acompanhamento"
"acompanhamento",536,"BOOK_CHAPTER","0","acompanhamento"
"acompanhando",19,"BOOK_CHAPTER","0","acompanhando"
"acompanhante",11,"ARTICLE","0","acompanhante"
"acompanhante",96,"BOOK_CHAPTER","0","acompanhante"
"acompanhantes",9,"ARTICLE","0","acompanhantes"
"acompanhantes",231,"BOOK_CHAPTER","0","acompanhantes"
"acompanhar",37,"BOOK_CHAPTER","0","acompanhar"
"aconselhamento",8,"ARTICLE","0","aconselhamento"
"aconselhamento",88,"BOOK_CHAPTER","0","aconselhamento"
"acontece",38,"BOOK","0","acontece"
"acontece",153,"BOOK_CHAPTER","0","acontece"
"acontecências",30,"BOOK_CHAPTER","0","acontecencias"
"aconteceu",38,"BOOK_CHAPTER","0","aconteceu"
"acontecimental",39,"BOOK_CHAPTER","0","acontecimental"
"acontecimento",13,"SPEAKER","0","acontecimento"
"acontecimento",21,"ARTICLE","0","acontecimento"
"acontecimento",38,"BOOK","0","acontecimento"
"acontecimento",477,"BOOK_CHAPTER","0","acontecimento"
"acontecimentos",38,"BOOK","0","acontecimentos"
"acontecimentos",135,"BOOK_CHAPTER","0","acontecimentos"
"acoplada",2,"PATENT","0","acoplada"
"acoplado",8,"ABSTRACT","0","acoplado"
"acoplamento",9,"ARTICLE","0","acoplamento"
"acordados",20,"BOOK_CHAPTER","0","acordados"
"acórdão",37,"BOOK_CHAPTER","0","acordao"
"acordei",38,"BOOK_CHAPTER","0","acordei"
"acordes",172,"BOOK_CHAPTER","0","acordes"
"acordo",13,"ABSTRACT","0","acordo"
"acordo",30,"ARTICLE","0","acordo"
"acordo",182,"BOOK","0","acordo"
"acordo",191,"BOOK_CHAPTER","0","acordo"
"acordos",38,"BOOK","0","acordos"
"acordos",58,"BOOK_CHAPTER","0","acordos"
"acoso",37,"BOOK_CHAPTER","0","acoso"
"açougueiros",30,"BOOK_CHAPTER","0","acougueiros"
"acoustic",26,"ARTICLE","0","acoustic"
"acquired",10,"ARTICLE","0","acquired"
"acquisition",13,"ARTICLE","0","acquisition"
"acre",8,"ARTICLE","0","acre"
"acre",74,"BOOK","0","acre"
"acre",108,"BOOK_CHAPTER","0","acre"
"acredita",22,"BOOK","0","acredita"
"acreditamos",38,"BOOK_CHAPTER","0","acreditamos"
"acreditar",22,"BOOK","0","acreditar"
"acreditar",38,"BOOK_CHAPTER","0","acreditar"
"acresção",38,"BOOK_CHAPTER","0","acrescao"
"acromyrmex",33,"ARTICLE","0","acromyrmex"
"acromyrmex",156,"BOOK_CHAPTER","0","acromyrmex"
"acronotópicos",38,"BOOK_CHAPTER","0","acronotopicos"
"across",44,"ARTICLE","0","across"
"acrylic",17,"ARTICLE","0","acrylic"
"acta",30,"BOOK_CHAPTER","0","acta"
"acte",59,"BOOK_CHAPTER","0","acte"
"acting",9,"ARTICLE","0","acting"
"actínica",38,"BOOK_CHAPTER","0","actinica"
"actinopterygii",84,"ARTICLE","0","actinopterygii"
"action",8,"SPEAKER","0","action"
"action",61,"ARTICLE","0","action"
"action",95,"BOOK_CHAPTER","0","action"
"actions",24,"ARTICLE","0","actions"
"actions",58,"BOOK_CHAPTER","0","actions"
"actitudes",30,"BOOK_CHAPTER","0","actitudes"
"actitudinales",38,"BOOK","0","actitudinales"
"activated",38,"BOOK_CHAPTER","0","activated"
"activated",66,"ARTICLE","0","activated"
"activation",42,"ARTICLE","0","activation"
"active",38,"BOOK_CHAPTER","0","active"
"active",83,"ARTICLE","0","active"
"actividades",21,"BOOK_CHAPTER","0","actividades"
"activities",162,"ARTICLE","0","activities"
"activity",175,"BOOK_CHAPTER","0","activity"
"activity",561,"ARTICLE","0","activity"
"activo",37,"BOOK_CHAPTER","0","activo"
"actores",20,"BOOK_CHAPTER","0","actores"
"actos",38,"BOOK_CHAPTER","0","actos"
"actos",39,"BOOK","0","actos"
"actual",8,"BOOK","0","actual"
"actual",38,"BOOK_CHAPTER","0","actual"
"actuales",30,"BOOK_CHAPTER","0","actuales"
"actualidades",8,"SPEAKER","0","actualidades"
"acuados",37,"BOOK","0","acuados"
"açucar",150,"BOOK_CHAPTER","0","acucar"
"açúcar",90,"ARTICLE","0","acucar"
"açúcar",702,"BOOK_CHAPTER","0","acucar"
"açucareira",38,"BOOK","0","acucareira"
"açucareiro",21,"BOOK_CHAPTER","0","acucareiro"
"açude",38,"BOOK","0","acude"
"açude",171,"BOOK_CHAPTER","0","acude"
"acuicultura",37,"BOOK_CHAPTER","0","acuicultura"
"aculeata",9,"ARTICLE","0","aculeata"
"aculeata",38,"BOOK_CHAPTER","0","aculeata"
"acumulação",11,"ARTICLE","0","acumulacao"
"acumulação",59,"BOOK","0","acumulacao"
"acumulação",151,"BOOK_CHAPTER","0","acumulacao"
"acumulada",97,"BOOK_CHAPTER","0","acumulada"
"acumulador",38,"BOOK_CHAPTER","0","acumulador"
"acupe",21,"BOOK_CHAPTER","0","acupe"
"acupuntura",13,"ABSTRACT","0","acupuntura"
"acupuntura",37,"BOOK_CHAPTER","0","acupuntura"
"acupuntura",38,"BOOK","0","acupuntura"
"acurácia",13,"ARTICLE","0","acuracia"
"acurácia",185,"BOOK_CHAPTER","0","acuracia"
"acusativo",59,"BOOK_CHAPTER","0","acusativo"
"acusatório",76,"BOOK","0","acusatorio"
"acústica",10,"ABSTRACT","0","acustica"
"acústica",10,"ARTICLE","0","acustica"
"acústica",248,"BOOK_CHAPTER","0","acustica"
"acústico",13,"ARTICLE","0","acustico"
"acústico",38,"BOOK_CHAPTER","0","acustico"
"acute",99,"ARTICLE","0","acute"
"adailson feitoza de jesus santos",1,"NAME","0","0"
"adailton silva dos santos",1,"NAME","0","0"
"adalberto brito de novaes",1,"NAME","0","0"
"adam",37,"BOOK_CHAPTER","0","adam"
"adamilton novais silveira",1,"NAME","0","0"
"ada mônica santos brito",1,"NAME","0","0"
"adão luiz gomes ornellas",1,"NAME","0","0"
"adaptabilidades",38,"BOOK_CHAPTER","0","adaptabilidades"
"adaptability",9,"ARTICLE","0","adaptability"
"adaptação",8,"ABSTRACT","0","adaptacao"
"adaptação",69,"ARTICLE","0","adaptacao"
"adaptação",376,"BOOK_CHAPTER","0","adaptacao"
"adaptación",21,"BOOK_CHAPTER","0","adaptacion"
"adaptacionismo",21,"BOOK_CHAPTER","0","adaptacionismo"
"adaptações",11,"ARTICLE","0","adaptacoes"
"adaptações",101,"BOOK","0","adaptacoes"
"adaptações",212,"BOOK_CHAPTER","0","adaptacoes"
"adaptada",13,"ABSTRACT","0","adaptada"
"adaptada",20,"SPEAKER","0","adaptada"
"adaptada",228,"BOOK_CHAPTER","0","adaptada"
"adaptadas",37,"BOOK_CHAPTER","0","adaptadas"
"adaptado",114,"BOOK_CHAPTER","0","adaptado"
